text,label
arrested for a trafficking offense,Drug Trafficking
using a schedule 3 substance with intent to distribute,Drug Trafficking
drugs for sale,Drug Trafficking
deliver or sell methamphetamine,Drug Trafficking
planning to sell marijuana for profit,Drug Trafficking
distribution of drug,Drug Trafficking
accused of a trafficking offense,Drug Trafficking
arrested for a trafficking offense,Drug Trafficking
indicted for found with crack cocaine for sale,Drug Trafficking
carrying opioid with intention to deliver,Drug Trafficking
prison inmate trafficked controlled substance - felony,Drug Trafficking
wrongful conveyance of marijana in a penal facility,Drug Trafficking
prohibited conveyance of drugs in a detention center,Drug Trafficking
carrying opioid with intention to deliver,Drug Trafficking
indicted for a trafficking offense,Drug Trafficking
under suspicion of making fentanyl for sale,Drug Trafficking
under suspicion of manufacturing illegal substance,Drug Trafficking
distributing crack cocaine,Drug Trafficking
"indicted for a misdemeanor, selling of cannabis",Drug Trafficking
illegal substance trafficking - felony,Drug Trafficking
"possessing with intent, 1000 grams of illegal substance",Drug Trafficking
arrested for transport of cocaine,Drug Trafficking
charged with cultivating marijana,Drug Trafficking
accused of crack cocaine dealing,Drug Trafficking
"indicted for a misdemeanor, selling of drugs",Drug Trafficking
heroin for sale,Drug Trafficking
found with opioid with purpose to trade,Drug Trafficking
carrying opioid with intention to deal,Drug Trafficking
distributing drug,Drug Trafficking
under suspicion of illegally smuggling marijana to sell on market,Drug Trafficking
"transport illegal substance intent to deliver, 5 to 10 grams or more",Drug Trafficking
possession of drug with intent to sell,Drug Trafficking
carrying cannabis with intention to traffic,Drug Trafficking
"transport heroin intent to distribute, 1000 grams or more",Drug Trafficking
delivery of heroin,Drug Trafficking
"found with a controlled substance, marijana, with intent to deliver 5 grams or more",Drug Trafficking
selling cocaine by the library,Drug Trafficking
accused of marijuana dealing,Drug Trafficking
solicitation to traffic crack cocaine,Drug Trafficking
distributing drugs,Drug Trafficking
banned conveyance of marijuana in a correctional facility,Drug Trafficking
"carrying with intent, 15 grams of methamphetamine",Drug Trafficking
accused of operation of a clandestine cannabis laboratory,Drug Trafficking
exchanging heroin for money,Drug Trafficking
under suspicion of cultivating controlled substance,Drug Trafficking
distributing controlled substanc,Drug Trafficking
"having with intent, 15 grams of methamphetamine",Drug Trafficking
distributing methamphetamine,Drug Trafficking
aiding and abetting to traffic cocaine,Drug Trafficking
distributing marijana,Drug Trafficking
arrested for manufacturing crack cocaine,Drug Trafficking
drug for sale,Drug Trafficking
carrying heroin for sale at a downtown area,Drug Trafficking
"transport crack cocaine intent to traffic, 45 grams or more",Drug Trafficking
trafficking drugs,Drug Trafficking
marihuana for delivery,Drug Trafficking
charged with a trafficking offense,Drug Trafficking
accused of illegally smuggling narcotic drug to sell on market,Drug Trafficking
distributing fentanyl,Drug Trafficking
sell or deliver within 50-100 yards of a main street,Drug Trafficking
possession of heroin with intent to trade,Drug Trafficking
cocaine for delivery,Drug Trafficking
delivery of marijuana,Drug Trafficking
using precursors to make drug,Drug Trafficking
charged with owning cocaine for sale,Drug Trafficking
accused of making drugs for sale,Drug Trafficking
prison inmate trafficked controlled substance - felony,Drug Trafficking
solicitation to traffic methamphetamine,Drug Trafficking
owning cocaine for sale,Drug Trafficking
carrying a schedule 6 substance with intent to trade,Drug Trafficking
drugs for delivery,Drug Trafficking
accused of cultivating fentanyl,Drug Trafficking
controlled substanc for sale,Drug Trafficking
delivery of cannabis,Drug Trafficking
accused of illegally smuggling crack cocaine to sell on market,Drug Trafficking
"accused of a felony, drug trafficking",Drug Trafficking
under suspicion of transport of opioid,Drug Trafficking
planning to sell illegal substance for profit,Drug Trafficking
under suspicion of a trafficking offense,Drug Trafficking
possession of marijuana with intent,Drug Trafficking
in possession of illegal substance with purpose to deliver,Drug Trafficking
accused of cannabis dealing,Drug Trafficking
trafficking meth,Drug Trafficking
delivery of opioid,Drug Trafficking
carrying controlled substance for sale at a town hall,Drug Trafficking
jail inmate trafficked drugs - felony,Drug Trafficking
accused of manufacturing illegal substance,Drug Trafficking
possessing narcotic drug for sale,Drug Trafficking
indicted for cultivating fentanyl,Drug Trafficking
possession of marijuana with intent,Drug Trafficking
found with precursors to make meth,Drug Trafficking
in possession of heroin for sale,Drug Trafficking
